	sub	emotion	score	tk	kernel	beta
272	33	sadness	0.6666783892826358	Darwin	linear	1
273	34	sadness	0.6386452762923351	Darwin	linear	1
274	35	sadness	0.6140716516985553	Darwin	linear	1
275	36	sadness	0.5817868854659252	Darwin	linear	1
276	37	sadness	0.6376714421510049	Darwin	linear	1
277	38	sadness	0.7156553342986679	Darwin	linear	1
278	39	sadness	0.6519216760900483	Darwin	linear	1
279	40	sadness	0.6717073667073667	Darwin	linear	1
280	41	sadness	0.5643779281875198	Darwin	linear	1
281	42	sadness	0.6286479537495102	Darwin	linear	1
282	43	sadness	0.6694829667022741	Darwin	linear	1
283	44	sadness	0.6347911542633744	Darwin	linear	1
284	45	sadness	0.691535153314434	Darwin	linear	1
285	46	sadness	0.5899846001680914	Darwin	linear	1
286	47	sadness	0.650636109285036	Darwin	linear	1
287	48	sadness	0.6637234070119976	Darwin	linear	1
288	49	sadness	0.6498547821732599	Darwin	linear	1
289	50	sadness	0.48101972898570766	Darwin	linear	1
290	51	sadness	0.6782608867649852	Darwin	linear	1
291	52	sadness	0.5941553096973304	Darwin	linear	1
292	53	sadness	0.6435086071457785	Darwin	linear	1
293	54	sadness	0.5128668730650154	Darwin	linear	1
294	55	sadness	0.6499053284432119	Darwin	linear	1
295	56	sadness	0.6613267309064954	Darwin	linear	1
296	57	sadness	0.7384372137724627	Darwin	linear	1
297	58	sadness	0.6260250448314642	Darwin	linear	1
298	59	sadness	0.6565801180943137	Darwin	linear	1
299	60	sadness	0.672661187769279	Darwin	linear	1
300	01	surprise	0.8021097661448761	Darwin	linear	1
301	02	surprise	0.8407170096111076	Darwin	linear	1
302	03	surprise	0.8565341203272239	Darwin	linear	1
303	04	surprise	0.732420800772798	Darwin	linear	1
304	05	surprise	0.8073467740520432	Darwin	linear	1
305	06	surprise	0.7843491521918942	Darwin	linear	1
306	07	surprise	0.8937196324625967	Darwin	linear	1
307	08	surprise	0.8606226958214996	Darwin	linear	1
308	09	surprise	0.8219579333709768	Darwin	linear	1
309	10	surprise	0.8425184910619513	Darwin	linear	1
310	11	surprise	0.8981092839295892	Darwin	linear	1
311	12	surprise	0.8822097378277153	Darwin	linear	1
312	13	surprise	0.8375256610423432	Darwin	linear	1
313	14	surprise	0.8336521284082502	Darwin	linear	1
314	15	surprise	0.803074786666593	Darwin	linear	1
315	16	surprise	0.6915765569525717	Darwin	linear	1
316	17	surprise	0.670062693372415	Darwin	linear	1
317	18	surprise	0.7278354434564146	Darwin	linear	1
318	19	surprise	0.7798472202425261	Darwin	linear	1
319	20	surprise	0.7240371116401147	Darwin	linear	1
320	21	surprise	0.743315718670799	Darwin	linear	1
321	22	surprise	0.6729024867406068	Darwin	linear	1
322	23	surprise	0.7853922584935553	Darwin	linear	1
323	24	surprise	0.8200084287282421	Darwin	linear	1
324	25	surprise	0.7203469339445622	Darwin	linear	1
325	26	surprise	0.7955558355911202	Darwin	linear	1
326	27	surprise	0.7999693911768605	Darwin	linear	1
327	28	surprise	0.7568103287004941	Darwin	linear	1
328	29	surprise	0.7092689261134918	Darwin	linear	1
329	30	surprise	0.6355137855330311	Darwin	linear	1
330	31	surprise	0.766348597806617	Darwin	linear	1
331	32	surprise	0.8113384177623576	Darwin	linear	1
332	33	surprise	0.727000176044762	Darwin	linear	1
333	34	surprise	0.8002040124465755	Darwin	linear	1
334	35	surprise	0.7188390861856757	Darwin	linear	1
335	36	surprise	0.6091233987064889	Darwin	linear	1
336	37	surprise	0.6942684930284191	Darwin	linear	1
337	38	surprise	0.6978320311116463	Darwin	linear	1
338	39	surprise	0.806137800227281	Darwin	linear	1
339	40	surprise	0.752180111418169	Darwin	linear	1
340	41	surprise	0.7316457847816461	Darwin	linear	1
341	42	surprise	0.7871976221122331	Darwin	linear	1
342	43	surprise	0.7378428907584694	Darwin	linear	1
343	44	surprise	0.7744654879470214	Darwin	linear	1
344	45	surprise	0.7885465292931525	Darwin	linear	1
345	46	surprise	0.6788053355915752	Darwin	linear	1
346	47	surprise	0.7749742575552032	Darwin	linear	1
347	48	surprise	0.6781260953382404	Darwin	linear	1
348	49	surprise	0.7793343861946767	Darwin	linear	1
349	50	surprise	0.8427095206671066	Darwin	linear	1
350	51	surprise	0.7964143965127105	Darwin	linear	1
351	52	surprise	0.6797127446598791	Darwin	linear	1
352	53	surprise	0.7587285482374768	Darwin	linear	1
353	54	surprise	0.6784364525347475	Darwin	linear	1
354	55	surprise	0.8251624973017053	Darwin	linear	1
355	56	surprise	0.7195308482443069	Darwin	linear	1
356	57	surprise	0.7653443894483323	Darwin	linear	1
357	58	surprise	0.774640215130727	Darwin	linear	1
358	59	surprise	0.6822449753192996	Darwin	linear	1
359	60	surprise	0.55011959720191	Darwin	linear	1
0	01	anger	0.4933579856256286	Darwin	linear	10
1	02	anger	0.6119511236334788	Darwin	linear	10
2	03	anger	0.5352306310101296	Darwin	linear	10
3	04	anger	0.4772919072260474	Darwin	linear	10
4	05	anger	0.4646172750869829	Darwin	linear	10
5	06	anger	0.6184337431894436	Darwin	linear	10
6	07	anger	0.5892022582228768	Darwin	linear	10
7	08	anger	0.5113726466986321	Darwin	linear	10
8	09	anger	0.4955172306447094	Darwin	linear	10
9	10	anger	0.5512418622776453	Darwin	linear	10
10	11	anger	0.5907359868111164	Darwin	linear	10
11	12	anger	0.5361363068465768	Darwin	linear	10
12	13	anger	0.45303933443835265	Darwin	linear	10
13	14	anger	0.6399607367396837	Darwin	linear	10
14	15	anger	0.35426220663609387	Darwin	linear	10
15	16	anger	0.5326542689064121	Darwin	linear	10
16	17	anger	0.45429450530266663	Darwin	linear	10
17	18	anger	0.6368263504611331	Darwin	linear	10
18	19	anger	0.5433293293029027	Darwin	linear	10
19	20	anger	0.40867073485729044	Darwin	linear	10
20	21	anger	0.6074570029774152	Darwin	linear	10
21	22	anger	0.47023398213484113	Darwin	linear	10
22	23	anger	0.5251936657230694	Darwin	linear	10
23	24	anger	0.5485346399082758	Darwin	linear	10
24	25	anger	0.5728458265987619	Darwin	linear	10
25	26	anger	0.4398066256333091	Darwin	linear	10
26	27	anger	0.46375666460233056	Darwin	linear	10
27	28	anger	0.530296674644887	Darwin	linear	10
28	29	anger	0.49273179112720134	Darwin	linear	10
29	30	anger	0.5273031129183803	Darwin	linear	10
30	31	anger	0.5865964657467926	Darwin	linear	10
31	32	anger	0.5880905511811023	Darwin	linear	10
32	33	anger	0.5366686984697314	Darwin	linear	10
33	34	anger	0.5608640555449066	Darwin	linear	10
34	35	anger	0.5994179104477612	Darwin	linear	10
35	36	anger	0.5196404992853878	Darwin	linear	10
36	37	anger	0.5495364704868897	Darwin	linear	10
37	38	anger	0.4530756966567133	Darwin	linear	10
38	39	anger	0.5380254338156988	Darwin	linear	10
39	40	anger	0.47037419431845306	Darwin	linear	10
40	41	anger	0.4610916259184353	Darwin	linear	10
41	42	anger	0.43769411355534305	Darwin	linear	10
42	43	anger	0.488255487863843	Darwin	linear	10
43	44	anger	0.5554476339547755	Darwin	linear	10
44	45	anger	0.49764961993589757	Darwin	linear	10
45	46	anger	0.5332728957054607	Darwin	linear	10
46	47	anger	0.5418693643265688	Darwin	linear	10
47	48	anger	0.4803722760290557	Darwin	linear	10
48	49	anger	0.5002814316646991	Darwin	linear	10
49	50	anger	0.5748668385688205	Darwin	linear	10
50	51	anger	0.5209433962264151	Darwin	linear	10
51	52	anger	0.5315975721740689	Darwin	linear	10
52	53	anger	0.48143788992399283	Darwin	linear	10
53	54	anger	0.5578053883819755	Darwin	linear	10
54	55	anger	0.4947592118296586	Darwin	linear	10
55	56	anger	0.647887773560813	Darwin	linear	10
56	57	anger	0.5865195989861081	Darwin	linear	10
57	58	anger	0.5536711190687456	Darwin	linear	10
58	59	anger	0.5042397304207207	Darwin	linear	10
59	60	anger	0.5978901451818497	Darwin	linear	10
60	01	disgust	0.65761090153758	Darwin	linear	10
61	02	disgust	0.6379312152668554	Darwin	linear	10
62	03	disgust	0.6720749942489073	Darwin	linear	10
63	04	disgust	0.5936387341001443	Darwin	linear	10
64	05	disgust	0.64108134032859	Darwin	linear	10
65	06	disgust	0.705756799387303	Darwin	linear	10
66	07	disgust	0.6856403789401873	Darwin	linear	10
67	08	disgust	0.6325687487150422	Darwin	linear	10
68	09	disgust	0.6265678574738207	Darwin	linear	10
69	10	disgust	0.6999562897054247	Darwin	linear	10
70	11	disgust	0.6947501215443679	Darwin	linear	10
71	12	disgust	0.648939250715997	Darwin	linear	10
72	13	disgust	0.7172461061665607	Darwin	linear	10
73	14	disgust	0.7436996997956056	Darwin	linear	10
74	15	disgust	0.7182052044214383	Darwin	linear	10
75	16	disgust	0.5797563238420824	Darwin	linear	10
76	17	disgust	0.6071554436524027	Darwin	linear	10
77	18	disgust	0.6389566268575836	Darwin	linear	10
78	19	disgust	0.6303231969947214	Darwin	linear	10
79	20	disgust	0.5477833109227931	Darwin	linear	10
80	21	disgust	0.6083366050052731	Darwin	linear	10
81	22	disgust	0.5806007039350948	Darwin	linear	10
82	23	disgust	0.6394355913910228	Darwin	linear	10
83	24	disgust	0.7089930335655479	Darwin	linear	10
84	25	disgust	0.6495118754516837	Darwin	linear	10
85	26	disgust	0.6157321156290547	Darwin	linear	10
86	27	disgust	0.6136697193847598	Darwin	linear	10
87	28	disgust	0.6227604303158369	Darwin	linear	10
88	29	disgust	0.730408284268439	Darwin	linear	10
89	30	disgust	0.5722225862504126	Darwin	linear	10
90	31	disgust	0.6677578247793963	Darwin	linear	10
91	32	disgust	0.6596913975554752	Darwin	linear	10
92	33	disgust	0.607331728926836	Darwin	linear	10
93	34	disgust	0.7400725528632573	Darwin	linear	10
94	35	disgust	0.6277916411632688	Darwin	linear	10
95	36	disgust	0.5195962146071866	Darwin	linear	10
96	37	disgust	0.6713711527634127	Darwin	linear	10
97	38	disgust	0.5379644940980344	Darwin	linear	10
98	39	disgust	0.6380499578824597	Darwin	linear	10
99	40	disgust	0.5906584362139917	Darwin	linear	10
100	41	disgust	0.5429067392577622	Darwin	linear	10
101	42	disgust	0.5708583694510112	Darwin	linear	10
102	43	disgust	0.5991464458032816	Darwin	linear	10
103	44	disgust	0.6653176452007739	Darwin	linear	10
104	45	disgust	0.605391764879561	Darwin	linear	10
105	46	disgust	0.5726146250570514	Darwin	linear	10
106	47	disgust	0.710020893804424	Darwin	linear	10
107	48	disgust	0.5834428178178179	Darwin	linear	10
108	49	disgust	0.615120271978679	Darwin	linear	10
109	50	disgust	0.7267260453148016	Darwin	linear	10
110	51	disgust	0.7704223249436015	Darwin	linear	10
111	52	disgust	0.6169519581614359	Darwin	linear	10
112	53	disgust	0.6304633265404178	Darwin	linear	10
113	54	disgust	0.5825296273000469	Darwin	linear	10
114	55	disgust	0.7102441958611858	Darwin	linear	10
115	56	disgust	0.6991930363001375	Darwin	linear	10
116	57	disgust	0.6843484946118262	Darwin	linear	10
117	58	disgust	0.6201077259927343	Darwin	linear	10
118	59	disgust	0.6310395768476883	Darwin	linear	10
119	60	disgust	0.609320007219565	Darwin	linear	10
120	01	fear	0.5383502032052756	Darwin	linear	10
121	02	fear	0.6252992970773215	Darwin	linear	10
122	03	fear	0.5951774577986744	Darwin	linear	10
123	04	fear	0.5734780170905581	Darwin	linear	10
124	05	fear	0.5385747299910391	Darwin	linear	10
125	06	fear	0.7005276991220599	Darwin	linear	10
126	07	fear	0.4786253776435045	Darwin	linear	10
127	08	fear	0.6336849921646638	Darwin	linear	10
128	09	fear	0.5479057233686178	Darwin	linear	10
129	10	fear	0.6125197020823159	Darwin	linear	10
130	11	fear	0.560532604463311	Darwin	linear	10
131	12	fear	0.6465399585502704	Darwin	linear	10
132	13	fear	0.556050648128376	Darwin	linear	10
133	14	fear	0.6446011872433277	Darwin	linear	10
134	15	fear	0.5575976822694088	Darwin	linear	10
135	16	fear	0.4871910530986788	Darwin	linear	10
136	17	fear	0.4740012956164975	Darwin	linear	10
137	18	fear	0.5676736029151422	Darwin	linear	10
138	19	fear	0.4788236445488354	Darwin	linear	10
139	20	fear	0.5255336895444511	Darwin	linear	10
140	21	fear	0.40079449758030716	Darwin	linear	10
141	22	fear	0.48246192822049466	Darwin	linear	10
142	23	fear	0.5248570901714918	Darwin	linear	10
143	24	fear	0.5345594161760583	Darwin	linear	10
144	25	fear	0.5561513011001502	Darwin	linear	10
145	26	fear	0.506384517996021	Darwin	linear	10
146	27	fear	0.5359334397795936	Darwin	linear	10
147	28	fear	0.5178571428571428	Darwin	linear	10
148	29	fear	0.5063094256236287	Darwin	linear	10
149	30	fear	0.5301111343802575	Darwin	linear	10
150	31	fear	0.5544157931553738	Darwin	linear	10
151	32	fear	0.4394881846455394	Darwin	linear	10
152	33	fear	0.5675176072136375	Darwin	linear	10
153	34	fear	0.4865251222765674	Darwin	linear	10
154	35	fear	0.6068969249293126	Darwin	linear	10
155	36	fear	0.5409302697991827	Darwin	linear	10
156	37	fear	0.5195750961870506	Darwin	linear	10
157	38	fear	0.5682965028873896	Darwin	linear	10
158	39	fear	0.5542954960438222	Darwin	linear	10
159	40	fear	0.5975489504102036	Darwin	linear	10
160	41	fear	0.596243643996453	Darwin	linear	10
161	42	fear	0.48032583204734075	Darwin	linear	10
162	43	fear	0.41462592499686446	Darwin	linear	10
163	44	fear	0.4572345710645627	Darwin	linear	10
164	45	fear	0.5844142671328505	Darwin	linear	10
165	46	fear	0.47896451073756097	Darwin	linear	10
166	47	fear	0.5055556447598709	Darwin	linear	10
167	48	fear	0.5468619528619529	Darwin	linear	10
168	49	fear	0.4981809250189797	Darwin	linear	10
